id,title,ISBN13,pages,authors,publisher,date
0,The Java Language Specification (The Java Series),9780321246783,651,"James Gosling,Bill Joy,Guy L. Steele Jr.,Gilad Bracha",Addison-Wesley Professional,June 1st 2005
1,Java Performance Tuning,9780596003777,600,Jack Shirazi,O'Reilly Media,January 28th 2003
2,Java Software Solutions (Java 5.0 version): Foundations of Program Design,9780321322036,944,"John   Lewis,William Loftus",Addison Wesley Publishing Company,July 29th 2005
3,Data Structures and Abstractions with Java,9780132370455,998,"Frank M. Carrano,Walter J. Savitch",Prentice Hall,August 4th 2006
4,Java and XSLT,9780596001438,528,Eric M. Burke,O'Reilly Media,September 11th 2001
5,Java: An Introduction to Problem Solving and Programming,9780131492028,1060,Walter J. Savitch,Prentice Hall,December 1st 2004
6,"Core Java 2, Volume I--Fundamentals (Core Series)",9780131482029,784,"Cay S. Horstmann,Gary Cornell",Prentice Hall,August 27th 2004
7,Big Java: Late Objects,9781118087886,1056,Cay S. Horstmann,Wiley,February 1st 2012
8,Just Java 2 [With CDROM],9780130320728,1098,Peter van der Linden,Prentice Hall PTR,December 21st 2001
9,Enterprise JavaBeans (Java Series (O'Reilly & Associates).),9781565928695,489,Richard Monson-Haefel,O'Reilly,September 8th 2001
10,Learn Objective-C for Java Developers,9781430223696,520,James Bucanek,Apress,September 1st 2009
11,"Java Server Programming For Professionals, 2nd Edition   Covers Java Ee 5 (Book/Cd Rom)",9788184045598,,"Ivan Bayross,Sharanam Shah,Cynthia Bayross,Vaishali Shah",,
12,Programming in Java,9780198063582,656,"Sachin Malhotra,Saurabh Choudhary","Oxford University Press, USA",February 1st 2011
13,Java Testing with Spock,9781617292538,275,Konstantinos Kapelonis,Manning Publications,2015
14,Sun Performance and Tuning: Java and the Internet,9780130952493,624,"Adrian Cockcroft,Sun Microsystems Press",Prentice Hall,April 17th 1998
15,Core Java for the Impatient,9780321996329,512,Cay S. Horstmann,Addison-Wesley Professional,February 16th 2015
16,Sams Teach Yourself Java in 24 Hours,9780672330766,432,Rogers Cadenhead,Sams,November 4th 2009
17,Wireless Java: Developing with J2ME,9781590590775,384,"Jonathan Knudsen,John Zukowski",Apress,March 4th 2003
18,Učebnice jazyka JAVA,,349,Pavel Herout,Kopp,2001
19,"Rising Sun, Falling Skies: The Disastrous Java Sea Campaign of World War II (General Military)",,493,Jeffrey Cox,Osprey Publishing,March 25th 2014
20,Programming and Problem Solving with Java,9780763734022,838,"Nell B. Dale,Chip Weems",Jones & Bartlett Publishers,April 1st 2007
21,Advanced Java Game Programming,9781590591239,558,David Wallace Croft,Apress,March 30th 2004
22,Data Structures and Abstractions with Java,9780130174895,843,"Frank Carrano,Walter J. Savitch",Prentice Hall,December 17th 2002
23,Java Servlets by Example,9781884777660,548,Alan R. Williamson,Manning Publications,July 1st 1999
24,Computing Concepts with Java 2 Essentials,9780471346098,784,Cay S. Horstmann,Wiley,September 6th 1999
25,Professional Java JDK 6 Edition,9780471777106,741,"W. Clay Richardson,Donald Avondolio,Mark W. Mitchell,Jeff Scanlon,Scot Schrager",Wrox Press,December 1st 2006
26,Understanding Object-Oriented Programming with Java: Updated Edition (New Java 2 Coverage),9780201612738,420,Timothy Budd,Pearson,August 13th 1999
27,Java Web Services in a Nutshell,9780596003999,672,Kim Topley,O'Reilly Media,June 16th 2003
28,Next Generation Java Testing: TestNG and Advanced Concepts,9780321503107,482,"Cedric Beust,Hani Suleiman",Addison-Wesley Professional,November 1st 2007
29,Java in Practice: Design Styles & Idioms for Effective Java,9780201360653,209,"Nigel Warren,Phil Bishop",Addison Wesley Longman,January 1st 1999
30,Beginning Java,9781861000279,1039,"Ivor Horton,Chris Ullman,Timothy Briggs,Simon Gilks,Anthea Elston,Ron Phillips,William Bilow,Kerry Hammil",Apress,June 1st 1997
31,Java Precisely,9780262692762,118,Peter Sestoft,MIT Press (MA),June 14th 2002
32,Terra Java,,270,João Lopes Marques,Oficina do Livro,October 2008
33,A Taste Of Java,9781605850634,273,L.J. Wilson,Gifted Pen Publishing,2008
34,Java 2 For Dummies,9780764568589,378,Barry Burd,For Dummies,August 27th 2004
35,The Definitive Guide to Java Swing,9781590594476,899,John Zukowski,Apress,December 1st 2000
36,"The History of Java, Volume 2",9781146242493,528,Thomas Stamford Raffles,Nabu Press,March 1st 2010
37,Learn to Program with Java,9780072131895,700,John Smiley,McGraw-Hill/Osborne Media,November 2nd 2001
38,Java 7 for Absolute Beginners,9781430236863,320,Jay Bryant,Apress,December 23rd 2011
39,Java Distributed Computing,9781565922068,386,Jim Farley,O'Reilly Media,January 8th 1998
40,The Minimum You Need to Know about Java on OpenVMS,9780977086610,352,Roland Hughes,Logikal Solutions,July 15th 2006
41,Programming for the Java¿ Virtual Machine,9780201309720,512,Joshua Engel,Addison-Wesley Professional,July 2nd 1999
42,"Memebuat Aplikasi Database Dengan Java Java, MySQL, Dan NetBeans",,416,Bunafit Nugroho,Elex Media Komputindo,April 28th 2010
43,"Agile Java Development with Spring, Hibernate and Eclipse",9780672328961,334,Anil Hemrajani,Sams,May 19th 2006
44,The Java Way: An Introduction To Programming In Java,,787,"Sparke, Gerard",Gerard Sparke,2011
45,JAVA / J2EE Interview Questions You'll Most Likely Be Asked,,124,Vibrant Publishers,Vibrant Publishers,November 1st 2010
46,Java 8 Preview Sampler,,160,"Herbert Schildt,Maurice Naftalin,Hendrik Ebbers,J.F. DiMarzio",McGraw-Hill Osborne Media,April 8th 2014
47,Core Java for Beginners,9781619030312,890,"Sharanam Shah,Vaishali Shah",Arizona Business Alliance,November 1st 2010
48,Escape from Java and Other Tales of Danger,9788184752878,184,Ruskin Bond,Puffin Books,July 31st 2010
49,Understanding Object-Oriented Programming with Java,9780201308815,367,Timothy Budd,Addison Wesley Publishing Company,January 1st 1998
50,"Java: Learn Java Programming With Ultimate Zero to Hero Programming Crash Course for Beginners (Java, Java Programming Language, Java Coding, Java for ... Java Programming for Beginners, JavaScript)",,75,Paul Madoff,,May 9th 2015
51,Data Structures in Java,9780201305647,555,Thomas A. Standish,Addison Wesley Publishing Company,August 12th 1997
52,Java Programming for Dummies: With CD,9780764501418,384,"Donald J. Koosis,David Koosis,David S. Koosis",For Dummies,July 1st 1997
53,Hacking Exposed J2ee & Java: Developing Secure Web Applications with Java Technology,9780072225655,426,"Brian Buege,Paul Gier",McGraw-Hill/Osborne Media,September 24th 2002
54,The Java Tutorial: A Short Course on the Basics,9780321334206,672,Kathy Walrath,Addison-Wesley Professional,December 1st 2006
55,How to Program with Java,,246,Trevor Page,,October 11th 2012
56,Applied Java Patterns,9780130935380,450,Stephen A. Stelting,Prentice Hall PTR,January 5th 2002
57,Java Thread Programming: The Authoritative Solution,9780672315855,510,Paul Hyde,Sams,August 30th 1999
58,Java: How to Program,,1496,Deitel,"Pearson Education, Inc.",
59,Object-Oriented Programming and Java,9781846289620,322,Danny Poo,Springer,October 12th 2007
60,Beginning Java EE 5,9781590594704,641,"James L.  Weaver,Kevin Mukhar,Chris Zelenak",Apress,October 29th 2007
