_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
25484,20,329,13.5,12,0.625,0.875,0.925,8,20,0.5555555555555556,0.7312724241271307,0.9090909090909091,0.7142857142857143,0.828758169934641,0,1,1,1,31,31,1,1,1,1,1,-4,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.0034991252186953262,0.9965069860279441,0,1,0.3838844545800076,0.6779336734693877,0
29199,22,254,7.5,10,0.5652173913043479,0.7653288740245262,0.8591973244147157,3,9,0.5384615384615384,0.7229568912920512,0.9333333333333333,0.7,0.8408888888888888,66,0.08333333333333337,0.45621693121693124,0.45621693121693124,-56,2,0,0,0,0,0.4450450450450455,-1.5,16,0.05882352941176472,0.4837535014005603,0.4837535014005603,-2,0,0,0,0,0.5391812865497073,0.001,0.999000499750125,0.46153846153846156,0.625,0.13953488372093023,0.8695652173913043,0
30951,23,16,28.5,7,0.8108108108108107,0.8727679292195422,0.9236607575317253,28,28,0.6304347826086957,0.7739527433912544,0.8055555555555556,0.7733333333333333,0.931054131054131,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4,16,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,4,0,1,1,1,4,1,1,1,1,1,0.00099601593625498,0.9990044798407167,0.5882352941176471,0.5454545454545454,0.5,0.6,0
52376,36,666,26,0,1,1,1,26,26,1,1,1,1,1,26,0.0714285714285714,0.41190476190476194,0.41190476190476194,-21,1,0,0,0,0,0.5587301587301586,1.5,6,0.4,0.6888888888888888,0.6888888888888888,0,0.25,0.40824829046386296,0.5,0.4,0.8444444444444443,0,1,0,1,0.0979020979020979,0.9066666666666666,1
96410,69,1117,25.5,23,0.54,0.7363492063492063,0.7363492063492063,15,38,0.5483870967741935,0.7084871015612022,0.723404255319149,0.7083333333333334,0.9341880341880344,24,0.1724137931034483,0.4830571727123451,0.4830571727123451,-13,3,0,0,0,0,0.5777777777777778,-3,25,0.19354838709677424,0.5158602150537633,0.5158602150537633,-9,0.02,0.04103049699311091,0.05555555555555555,0.0392156862745098,0.7320987654320987,0.001998001998001998,0.998003992015968,1.6,0.11111111111111116,2,0,0
121575,88,430,75,0,1,1,1,75,75,1,1,1,1,1,0,1,1,1,17,17,1,1,1,1,1,0,14,0.17647058823529416,0.5548373195432018,0.5993535875888816,-1,0.030303030303030304,0.05923488777590923,0.06666666666666667,0.058823529411764705,0.6198830409356724,0,1,0,1,0.2857142857142857,0.75,0
131749,95,36,29,0,1,1,1,29,29,1,1,1,1,1,0,1,1,1,23,23,1,1,1,1,1,3.5,8,0.4285714285714286,0.5373015873015873,0.5373015873015873,2,0.2727272727272727,0.43301270189221935,0.5,0.42857142857142855,0.7541666666666667,0.002484472049689441,0.9975186104218362,0.9090909090909091,0.375,0,1,0
153722,110,577,13,0,1,1,1,13,13,1,1,1,1,1,0,1,1,1,12,12,1,1,1,1,1,-4,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.0005008765339343851,0.99949924887331,0,1,0.06451612903225806,0.9375,1
166470,117,1065,56,1,0.9824561403508771,0.9763993316624896,0.9858395989974937,56,56,0.8928571428571429,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9898305084745762,26,0.3157894736842105,0.7719298245614036,0.8631578947368421,-14,12,0.2857142857142857,0.50709255283711,0.8571428571428571,0.4444444444444444,0.9714285714285715,0.5,20,0.2592592592592593,0.491285403050109,0.491285403050109,-3,0.043478260869565216,0.08520286456846099,0.10526315789473684,0.08333333333333333,0.6982456140350877,0,1,0,1,0,1,1
179900,126,1751,40.5,12,0.7966101694915254,0.9322033898305085,0.9593220338983052,35,47,0.7540983606557377,0.8643929322032533,0.9583333333333334,0.8598130841121495,0.9402550091074683,0,1,1,1,14,14,1,1,1,1,1,6,3,0.7272727272727273,0.9090909090909092,0.9454545454545455,5,0.5333333333333333,0.7016464154456235,0.8,0.6956521739130435,0.87008547008547,0.00199501246882793,0.9980069755854509,0.2222222222222222,0.8,1.5310709563684441,0.1328007988017973,0
207650,148,222,17.5,12,0.6666666666666667,0.8888888888888888,0.9333333333333333,12,24,0.6,0.7635417155709334,0.9230769230769231,0.75,0.859649122807018,0,1,1,1,29,29,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0,1,0.002560819462227913,0.9974424552429667,1
217490,155,712,10.5,11,0.5925925925925926,0.7612563543936094,0.8567538126361657,6,11,0.5,0.6816229165476879,0.8421052631578947,0.6666666666666666,0.9578947368421052,24,0.040000000000000036,0.38000000000000006,0.38000000000000006,1,2,0,0,0,0,0.5967078189300409,-11.5,25,0.038461538461538436,0.45726495726495725,0.45726495726495725,-22,0,0,0,0,0.662222222222222,0.0015003750937734434,0.9985007496251874,0.08695652173913043,0.9166666666666666,0.6007843137254902,0.5379975874547648,0
254870,183,214,53.5,13,0.821917808219178,0.9351747885320757,0.9611048731192454,48,60,0.75,0.8591121014790615,0.9193548387096774,0.8571428571428571,0.9484444444444443,17,0.6382978723404256,0.8686799359414321,0.9212079615648593,14,30,0.7894736842105263,0.8827348295047495,0.9090909090909091,0.8823529411764706,0.9673469387755101,13,0,1,1,1,13,1,1,1,1,1,0,1,0.18181818181818182,0.8333333333333334,0,1,1
256834,184,337,16,0,1,1,1,16,16,1,1,1,1,1,0,1,1,1,11,11,1,1,1,1,1,-4,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.003996003996003996,0.996011964107677,0,1,0.29767441860465116,0.7408906882591093,0
264359,190,465,28,50,0.3902439024390244,0.736650185319159,0.736650185319159,7,46,0.5306122448979592,0.6935799834063556,0.7123287671232876,0.6933333333333334,0.9113756613756614,24,0.25,0.543859649122807,0.543859649122807,-5,7,0.057692307692307696,0.11227217828476796,0.14285714285714285,0.10909090909090909,0.704575163398693,-2.5,22,0.15384615384615385,0.4775641025641026,0.4775641025641026,-6,0,0,0,0,0.5452380952380951,0.0004986287708800798,0.9995014955134596,1.1111111111111112,0.2857142857142857,0.15854374633000587,0.8531011969532101,0
