_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages,gold
25484,20,329,Java: How to Program / Edition 2,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall Professional Technical Reference,9780138993948,1997,8,1063,Java: How to Program,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall,9780131483990,2004,8,1568,0
29199,22,254,Java 2 Network Security,"Marco Pistoia,Ashok K. Ramani,Milind Nagnur,Deepak Gupta,Duane F. Reller",Pearson Education,9780130155924,1999,8,713,Java Security,Scott Oaks,O'Reilly Media,9780596001580,2001,5,620,0
30951,23,16,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007,6,720,Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,Sams,9780672330770,2009,11,432,0
52376,36,666,Professional Java Security,GARMS,Apress,9781861004253,2001,5,600,Professional Java Security,"Jess Garms,Daniel Somerfield",Wrox Press,9781861004250,2001,5,544,1
96410,69,1117,Introduction to Programming Using Java / Edition 2,"Rick Decker,Stuart Hirshfield",Cengage Learning,9780534371104,2000,1,0,Multimedia Introduction to Programming Using Java,David Gries,Springer Science+Business Media,9780387226810,2004,9,536,0
121575,88,430,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Pearson Education,9780132874748,2012,3,288,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Prentice Hall,9780321247130,2012,3,384,0
131749,95,36,"The History of Java, Volume 2",Thomas Stamford Raffles,Andesite Press,9781297695902,2015,8,528,"The History of Java, Volume 2",Thomas Stamford Raffles,Nabu Press,9781146242490,2010,3,528,0
153722,110,577,Advanced Java,Chris Laffra,Prentice Hall Professional Technical Reference,9780135343487,1996,1,288,Advanced Java,Chris Laffra,Prentice Hall,9780135343490,1997,1,270,1
166470,117,1065,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013,2,608,"The Java Virtual Machine Specification, Java Se 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9780133260460,2013,2,608,1
179900,126,1751,Interdisciplinary Computing in Java Programming / Edition 1,Sun-Chong Wang,Springer US,9781402075131,2007,10,2003,Interdisciplinary Computing in Java Programming,Sun-Chong Wang,Springer,9781402075130,2003,8,266,0
207650,148,222,Java Servlet Programming / Edition 2,"Jason Hunter,William Crawford","O'Reilly Media, Incorporated",9780596000400,2001,4,782,Java Servlet Programming,"Jason Hunter,William Crawford",O'Reilly Media,9780596000400,2001,4,780,1
217490,155,712,Java 2 by Example,"Jeff Friesen,Jeff Friesen",Que,9780789725936,2001,12,829,Java Programming by Example,"Rajiv Sharma,Vivek Sharma",Cambridge University Press,9780521644430,1998,11,446,0
254870,183,214,Objects First With Java: A Practical Introduction Using BlueJ / Edition 3,"David J. Barnes,Michael Kolling,Michael Kolling",Prentice Hall,9780131976290,2006,5,520,Objects First with Java: A Practical Introduction Using BlueJ,"David J. Barnes,Michael Kölling",Prentice Hall,9780131976290,2006,6,520,1
256834,184,337,Thinking in Java,Bruce Eckel,Prentice Hall Professional Technical Reference,9780136597230,1998,2,1098,Thinking in Java,Bruce Eckel,Prentice Hall,9780131872490,2006,2,1482,0
264359,190,465,Java 5.0 Program Design: An Introduction to Programming and Object-Oriented Design,"James P. Cohoon,Jack W. Davidson","McGraw-Hill Companies, The",9780072961133,2005,7,919,An Introduction to Java Programming and Object-Oriented Application Development,Richard A.  Johnson,Cengage Learning,9780619217460,2006,2,784,0
285605,205,203,Java Enterprise in a Nutshell,"Jim Farley,William Crawford,John G. Norman,Justin Gehtland,Prakash Malani","O'Reilly Media, Incorporated",9780596101428,2006,3,896,Java Enterprise in a Nutshell,"Jim Farley,William Crawford,Prakash Malani,Justin Gehtland,John G. Norman",O'Reilly Media,9780596101430,2005,12,896,1
289310,207,99,"The Java Virtual Machine Specification, Java SE 8 Edition / Edition 1","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Addison-Wesley,9780133905908,2014,5,648,The Java(tm) Virtual Machine Specification,"Tim Lindholm,Frank Yellin",Addison-Wesley Professional,9780201432950,1999,4,496,0
300225,215,211,Java EE 7 Essentials,Arun Gupta,"O'Reilly Media, Incorporated",9781449370176,2013,8,362,Java EE 7 Essentials,Arun Gupta,O'Reilly Media,9781449370180,2013,9,362,1
336017,239,551,Java Programming for Dummies,"Donald J. Koosis,David Koosis","Wiley, John & Sons, Incorporated",9780764501418,1997,7,373,Java Programming Projects,John Sestak,Course Technology,9780538694050,2000,1,276,0
369845,265,516,Pro XML Development with Java Technology,Deepak Vohra,Apress,9781590597064,2006,9,472,Pro XML Development with Java Technology,Ajay Vohra,Apress,9781590597060,2006,9,451,1
413076,295,714,Java Persistence with Jpa 2.1,Daoqi Yang,"Outskirts Press, Inc.",9781478700197,2013,9,434,Java Persistence with Mybatis 3,K. Siva Prasad Reddy,Packt Publishing,9781299688610,2014,5,133,0
436833,312,193,"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9780957630529,2013,8,338,"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9780957630530,2013,8,338,1
444174,316,1783,Java Design Patterns,Vaskaran Sarcar,Apress,9781484218013,2016,6,171,Java Enterprise Design Patterns,Mark Grand,John Wiley & Sons,9781280314070,2009,1,486,0
462270,328,1890,Java EE 7 with GlassFish 4 Application Server,David R. Heffelfinger,Packt Publishing,9781782176886,2014,3,348,Java Ee 7 with Glassfish 4 Application Server,David R. Heffelfinger,Packt Publishing,9781782176890,2014,3,348,1
515473,368,1236,Client-Server Web Apps with JavaScript and Java,Casimir Saternos,"O'Reilly Media, Incorporated",9781449369330,2014,4,260,Client-Server Web Apps with JavaScript and Java,Casimir Saternos,O'Reilly Media,9781449369330,2014,4,350,1
558883,401,1586,Java 2,BarCharts Inc,"BarCharts, Incorporated",9781572229235,2005,9,6,Java 1.2,BarCharts Inc.,Barcharts,9781572223980,2000,1,6,0
564922,405,532,SCJP Sun Certified Programmer for Java 6 Practice Exams (Exam 310-055),"Bert Bates,Kathy Sierra,Bert Bates",McGraw-Hill Professional Publishing,9780072260885,2010,11,448,SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) (Certification Press),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne,9780072253600,2006,1,825,0
599859,429,495,Introduction to Programming Using Java,David Eck,University Press of Florida,9781616100995,2009,9,692,Programming: Introduction to Programming Using Java,David J. Eck,Createspace,9781441419770,2009,3,683,0
608100,434,800,Learning Android: Develop Mobile Apps using Java and Eclipse / Edition 2,"Marko Gargenta,Masumi Nakamura","O'Reilly Media, Incorporated",9781449319236,2014,2,286,Learning Android: Develop Mobile Apps using Java and Eclipse,"Marko Gargenta,Masumi Nakamura",O'Reilly Media,9781449319240,2014,2,288,0
609668,435,1812,Java Cookbook,Ian F. Darwin,"O'Reilly Media, Incorporated",9781449337049,2014,7,898,Java Soa Cookbook,Eben Hewitt,O'Reilly Media,9781306814780,2014,5,579,0
669114,475,640,Java Foundations: Introduction to Program Design and Data Structures / Edition 4,"Joe Chase,Peter DePasquale,John Lewis",Pearson,9780134285436,2016,2,1152,Java Foundations: Introduction to Program Design & Data Structures,"John   Lewis,Peter DePasquale,Joe Chase",Addison Wesley Publishing Company,9780321429730,2007,3,874,0
714937,506,1627,Java in Easy Steps: Covers Java 8,Mike McGrath,In Easy Steps Limited,9781840786217,2014,9,192,Java in easy steps: Covers Java 9,Mike McGrath,In Easy Steps Limited,9781840787540,2017,7,192,0
731602,519,334,Java Concurrency in Practice,"Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes",Addison-Wesley,9780321349606,2006,5,403,Java Concurrency in Practice,"Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes,Doug Lea",Addison-Wesley Professional,9780321349610,2006,5,403,1
871447,613,1184,Java 7: A Beginner's Tutorial,Budi Kurniawan,BrainySoftware,9780980839616,2011,10,700,Java 5: A Beginner's Tutorial,Budi Kurniawan,BrainySoftware,9780975212850,2006,4,656,0
942772,665,465,An Introduction to Object-Oriented Programming with Java / Edition 4,"C Wu,C. Thomas Wu (Otani)","McGraw-Hill Companies, The",9780072946529,2005,1,976,An Introduction to Java Programming and Object-Oriented Application Development,Richard A.  Johnson,Cengage Learning,9780619217460,2006,2,784,0
967756,683,944,Object-oriented Software Engineering : Practical Software Development Using Uml And Java / Edition 2,Timothy Lethbridge,"McGraw-Hill Companies, The",9780077109080,2004,12,562,Object-Oriented Software Engineering: Practical Software Development Using UML and Java,"Timothy Lethbridge,Robert Laganiere",McGraw-Hill Science/Engineering/Math,9780072834960,2002,5,497,0
1027704,723,1929,Smart Card Application Development Using Java / Edition 2,"Uwe Hansmann,Martin S. Nicklous,Thomas Sch?ck,Achim Schneider,Frank Seliger",Springer Berlin Heidelberg,9783540432029,2002,8,322,Smart Card Application Development Using Java,Martin S. Nicklous,Springer,9783540432030,2002,7,305,0
1039392,732,862,Java Gems: Jewels from Java Report,"Dwight Deugo,Donald G. Firesmith",SIGS,9780521648240,1998,2,0,Java Gems: Jewels from Java Report,Dwight Deugo,Sigs,9780521648240,1998,2,248,1
1050409,741,450,LDAP Programming with Java (paperback),"Rob Weltman,Tony Dahbura",Addison-Wesley,9780768682144,2000,2,720,LDAP Programming with Java,Rob Weltman,Addison-Wesley Professional,9780201657590,2000,2,692,0
1088495,769,407,The CERT Oracle Secure Coding Standard for Java / Edition 1,"Fred Long,Dhruv Mohindra,Robert Seacord,Dean F. Sutherland,David Svoboda",Addison-Wesley,9780321803955,2011,9,744,The CERT Oracle Secure Coding Standard for Java,"Fred Long,Dhruv Mohindra,Robert C. Seacord,Dean F. Sutherland,David Svoboda",Addison-Wesley Professional,9780321803960,2011,9,699,1
1120397,792,500,Java Ee 6 Development With Netbeans 7,David Heffelfinger,Packt Publishing,9781849512701,2011,6,392,Java Ee 6 Development with Netbeans 7,David R. Heffelfinger,Packt Publishing,9781849512700,2011,6,374,1
1137178,802,29,Java(TM) in Practice : Design Styles and Idioms for Effective Java,"Nigel Warren,Phil Bishop",Addison-Wesley,9780201360653,1998,12,224,Java in Practice: Design Styles & Idioms for Effective Java,"Nigel Warren,Phil Bishop",Addison Wesley Longman,9780201360650,1999,1,209,1
1155916,816,1068,"programming.java: An Introduction to Programming Using Java, Second Edition: An Introduction to Programming Using Java, 2nd / Edition 2","Rick Decker,Stuart Hirshfield",Cengage Learning,9780534371098,1999,12,640,programming.java: An Introduction to Programming Using Java: An Introduction to Programming Using Java,"Rick Decker,Stuart Hirshfield",Course Technology,9780534371100,1999,12,640,1
1200768,847,1813,Java Security,Scott Oaks,"O'Reilly Media, Incorporated",9780596001575,2001,5,620,Java Network Security,Robert S. MacGregor,Prentice Hall,9780137615290,1998,1,232,0
1206487,851,1751,Interdisciplinary Computing in Java Programming,Sun-Chong Wang,Springer US,9781461350460,2013,4,0,Interdisciplinary Computing in Java Programming,Sun-Chong Wang,Springer,9781402075130,2003,8,266,0
1221318,862,891,Java XML Programming,"Nazmul Idris,Nazmul Adris",Manning Publications Company,9781884777837,1999,8,400,Pro Java Programming,Brett Spell,Apress,9781590594740,2005,6,720,0
1228146,868,173,Data Structures and Algorithms in Java,"Michael T. Goodrich,Roberto Tamassia",Wiley,9780471193081,1998,1,760,Data Structures and Algorithms in Java,Adam Drozdek,Cengage Learning,9780534492530,2004,9,768,0
1239413,874,1419,Java for Engineers and Scientists / Edition 1,Gary J. Bronson,Cengage Learning,9780534384531,2002,12,560,Java for Engineers and Scientists,Gary J. Bronson,Course Technology,9780534384530,2003,12,812,1
1261174,891,399,Java EE 7 Developer Handbook,Peter A. Pilgrim,Packt Publishing Pvt. Ltd.,9781849687959,2013,9,0,Java Ee 7 Developer Handbook,Peter A. Pilgrim,Packt Publishing,9781849687960,2013,9,634,1
1287472,908,1163,Java Programming,K. N. King,"Norton, W. W. & Company, Inc.",9780393948141,2001,6,0,Java Web Services Programming,"Rashim Mogha,V.V. Preetham",John Wiley & Sons,9780764549530,2002,9,576,0
1318153,928,248,Data Structures and Algorithm Analysis in Java / Edition 2,Mark A. Weiss,Addison Wesley,9780321370136,2006,3,576,Data Structures and Algorithm Analysis in Java,Mark Allen Weiss,Addison Wesley,9780321370140,2006,3,576,1
1318257,928,420,Data Structures and Algorithm Analysis in Java / Edition 2,Mark A. Weiss,Addison Wesley,9780321370136,2006,3,576,Data Structures and Algorithm Analysis in Java,Clifford A. Shaffer,Dover Publications,9780486485810,2011,9,608,0
1340545,944,1405,Programming Neural Networks With Encog 2 In Java,Jeff Heaton,"Heaton Research, Inc.",9781604390070,2010,3,480,Neural Network Programming with Java,"Alan Souza,Fabio Soares",Packt Publishing,9781785880900,2016,1,244,0
1382205,974,1001,Java EE 7 Performance Tuning and Optimization,Osama Oransa,Packt Publishing,9781782176428,2014,6,478,Java Ee 7 Performance Tuning and Optimization,Osama Oransa,Packt Publishing,9781782176430,2014,6,478,1
1416488,998,1365,An Introduction to Object-Oriented Programming with Java / Edition 5,C. Thomas Wu,McGraw-Hill Education,9780073523309,2009,3,1008,An Introduction to Programming and Object-Oriented Design Using Java,"Jaime Nino,Frederick A. Hosch",Wiley,9780471712280,2004,10,976,0
1439161,1012,1851,"The Java Language Specification, Java SE 7 Edition / Edition 4","James Gosling,Bill Joy,Guy Steele,Gilad Bracha,Alex Buckley",Addison-Wesley,9780133260229,2013,2,644,"The Java Language Specification, Java Se 7 Edition","James Gosling,Bill Joy,Guy L Jr Steele",Addison-Wesley Professional,9780133260300,2013,2,672,1
1450562,1020,188,Introduction to Algorithms and Java CD-ROM / Edition 2,"Thomas H. Cormen,Ronald L. Rivest,Charles E. Leiserson,Clifford Stein","McGraw-Hill Companies, The",9780072970548,2003,12,1056,Introduction to Algorithms and Java CD-ROM,"Thomas H. Cormen,Ronald L. Rivest,Charles E. Leiserson,Clifford Stein",McGraw-Hill Science/Engineering/Math,9780072970550,2003,12,1056,1
1567319,1107,1366,A Concise and Practical Introduction to Programming Algorithms in Java,Frank Nielsen,Springer London,9781848823389,2009,3,252,A Concise and Practical Introduction to Programming Algorithms in Java,Frank Nielsen,Springer,9781848823390,2009,4,252,1
1569580,1109,364,"Covert Java: Techniques for Decompiling, Patching, and Reverse Engineering",Alex Kalinovsky,Sams,9780672326387,2004,5,268,"Covert Java: Techniques for Decompiling, Patching, and Reverse Engineering",Alex Kalinovsky,Sams,9780672326390,2004,5,288,1
1591730,1129,891,Reactive Java Programming,Andrea Maglie,Apress,9781484214299,2017,2,90,Pro Java Programming,Brett Spell,Apress,9781590594740,2005,6,720,0
1598788,1133,842,Developing Enterprise Java Applications with J2EE and UML / Edition 1,"Khawar Zaman Ahmed,Cary E. Umrysh",Addison-Wesley,9780201738292,2001,10,368,Developing Applications with Java? and UML,Paul R. Reed Jr.,Addison-Wesley Professional,9780201702520,2001,11,504,0
1633254,1158,1123,"Java Programming: Complete Concepts and Techniques, Third Edition / Edition 3","Gary B. Shelly,Thomas J. Cashman,Joy L. Starks,Michael Mick,Joy L. Starks",Cengage Learning,9781418859848,2005,9,648,Java Programming: Complete Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Joy L. Starks",Course Technology,9781418859850,2005,9,648,1
1664852,1177,217,Java Programming Language,"Coriolis Group,Anthony Potts,Coriolis Grp",Coriolis Group,9781883577773,1995,1,432,Java Programming,Joyce Farrell,Course Technology,9781423901280,2007,2,811,0
1672158,1181,1557,Advanced Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,CreateSpace Publishing,9781461159261,2011,5,108,Advanced Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,Createspace,9781461159260,2011,5,108,1
1673116,1182,740,Java 7 New Features Cookbook,"Richard M. Reese,Jennifer L. Reese",Packt Publishing,9781849685627,2012,2,384,Java 7 New Features Cookbook,"Richard M. Reese,Jennifer L. Reese",Packt Publishing,9781849685630,2012,2,384,1
1676147,1184,475,Instant Web Scraping with Java,Ryan Mitchell,Packt Publishing Pvt. Ltd.,9781849696890,2013,8,0,Instant Web Scraping with Java,Ryan Mitchell,Packt Publishing,9781299832690,2014,6,72,0
1707885,1203,1810,Java and Mac OS X,T. Gene Davis,Wiley,9780470525111,2010,5,0,Java and Mac OS X,T. Gene Davis,Wiley,9780470647320,2010,3,512,0
1771904,1254,532,Sun Certification Programmer for Java 2 Study Guide (Exam 310-025) (Book/CD-ROM Package),"Inc. Syngress Media,Gareth Hancock",McGraw-Hill Professional,9780072123722,2000,3,625,SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) (Certification Press),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne,9780072253600,2006,1,825,0
1787841,1264,26,Understanding Object-Oriented Programming with Java,"Timothy Budd,Susan Hartmann,Alwyn R. Velasquez,Susan Cyr",Addison-Wesley,9780201308815,1998,2,367,Understanding Object-Oriented Programming with Java: Updated Edition (New Java 2 Coverage),Timothy Budd,Pearson,9780201612740,1999,8,420,0
1872463,1321,3612,Beginning Java Databases,"MUKHAR,Bjarki Holm,John Carnell,Mark Mamone,Ron Phillips",Apress,9781861004376,2001,8,800,Beginning ASP.Net 2.0 Databases,Damien Foggon,Damien Foggon,9781430201460,2006,1,636,0
1911405,1351,849,Warenkorb. Programmieren in Java,Ina Meyer,GRIN Verlag GmbH,9783668258235,2016,8,28,Grundkurs Programmieren in Java,"Dietmar Ratz,Jens Scheffler,Detlef Seese,Jan Wiesenberger",Carl Hanser Verlag,9783446416550,2010,2,688,0
1929295,1364,1055,Android Application Development for Java Programmers,James Sheusi,Cengage Learning,9781133593546,2012,1,320,.Net Development for Java Programmers,"Paul  Gibbons,Gary Cornell",Apress,9781590590390,2002,7,386,0
1957230,1386,440,Maximum LEGO NXT: Building Robots with Java Brains,Brian Bagnall,Variant Press,9780986832222,2013,7,528,Maximum Lego NXT: Building Robots with Java Brains,Brian  Bagnall,Variant Press,9780973864920,2007,4,524,0
1961398,1389,426,Java for Programmers,Paul Deitel,Pearson Education,9780137018512,2009,2,1200,C for Java Programmers,Tomasz Muldner,Pearson,9780201702800,2000,3,500,0
2057897,1453,1142,An Introduction to Programming and Object-Oriented Design Using Java / Edition 3,Jaime Nino,Wiley,9780470128718,2008,2,1040,An Introduction to Programming and Object-Oriented Design Using Java,"Jaime Nino,Frederick A. Hosch",John Wiley & Sons,9780470128720,2008,1,1009,1
2063932,1458,35,Definitive Guide to Swing for Java 2,John Zukowski,Apress,9781893115781,2000,11,890,The Definitive Guide to Java Swing,John Zukowski,Apress,9781590594480,2000,12,899,0
2102573,1487,400,Introduction to Java Programming: Fundamentals First (Core Version) / Edition 6,Y. Daniel Liang,Prentice Hall,9780132237383,2006,7,704,Introduction to Java Programming: Fundamentals First,Y. Daniel Liang,Prentice Hall,9780132237380,2006,6,678,1
2140832,1516,853,Java Programming: Introductory / Edition 1,Joyce Farrell,Cengage Learning,9780760010693,1998,10,319,Java Programming: Introductory,Joyce Farrell,Course Technology,9780760010690,1998,10,319,1
2158856,1530,12,Programming with Java,"Barry Holmes,Holmes",Jones & Barlett Learning,9780763707071,1998,4,608,Programming in Java,"Sachin Malhotra,Saurabh Choudhary","Oxford University Press, USA",9780198063580,2011,2,656,0
2159384,1530,1030,Programming with Java,"Barry Holmes,Holmes",Jones & Barlett Learning,9780763707071,1998,4,608,Object-Oriented Programming with Java,"Barry Holmes,Daniel T. Joyce",Jones & Bartlett Publishers,9780763714350,2000,10,608,0
2163784,1533,1561,Java 6 Application Programming,Julio Sanchez,Skipanon Software Associates,9780966508864,2010,1,323,Java Programming,Joyce Farrell,Course Technology,9780619213190,2005,4,887,0
2211258,1567,1403,Java Programming,Course Technology Editorial Staff,Cengage Learning,9780619205911,2003,7,698,Java Programming Made Simple,Fawcett,Made Simple Books,9780750632420,1997,5,200,0
2234985,1585,1511,Pro JPA 2: Mastering the Java Persistence API / Edition 1,"Mike Keith,Merrick Schincariol,Jeremy Keith",Apress,9781430219569,2009,12,500,Pro JPA 2: Mastering the Java Persistence API,Merrick Schincariol,Apress L. P.,9781430219580,2009,12,500,1
2338810,1656,1419,Essential Java for Scientists and Engineers,"Brian D. Hahn,Katherine M. Malan",Elsevier Science & Technology Books,9780750654227,2002,10,352,Java for Engineers and Scientists,Gary J. Bronson,Course Technology,9780534384530,2003,12,812,0
2370928,1677,341,Harnessing Java 7: A Comprehensive Approach to Learning Java 7,Kishori Sharan,CreateSpace Publishing,9781466244641,2012,4,626,Harnessing Java 7: A Comprehensive Approach to Learning Java,Kishori Sharan,Createspace,9781463767720,2012,4,618,0
2435058,1720,168,C++ for Java Programmers / Edition 1,Mark A. Weiss,Pearson,9780139194245,2003,10,304,C++ for Java Programmers,Mark Allen Weiss,Pearson,9780139194240,2003,11,304,1
2445050,1726,138,Rails for Java Developers,"Stuart Halloway,Justin Gehtland","Pragmatic Programmers, LLC, The",9780977616695,2007,1,304,Rails for Java Developers,"Stuart Halloway,Justin Gehtland",Pragmatic Bookshelf,9780977616700,2007,2,311,1
2445316,1726,607,Rails for Java Developers,"Stuart Halloway,Justin Gehtland","Pragmatic Programmers, LLC, The",9780977616695,2007,1,304,C# for Java Developers,"Allen Jones,Adam Freeman",Microsoft Press,9780735617800,2002,8,500,0
2445681,1726,1383,Rails for Java Developers,"Stuart Halloway,Justin Gehtland","Pragmatic Programmers, LLC, The",9780977616695,2007,1,304,Eclipse 2 for Java Developers,Berthold Daum,John Wiley & Sons,9780470869060,2003,12,470,0
2477403,1748,854,Java Programming: Comprehensive,"Joyce M. Farrell,Farrell","Course Technology, Inc.",9780760010709,1999,3,720,Java Programming: A Comprehensive Introduction Java Programming: A Comprehensive Introduction,"Herbert Schildt,Dale Skrien",McGraw-Hill Science/Engineering/Math,9780078022070,2012,1,1184,0
2477425,1748,896,Java Programming: Comprehensive,"Joyce M. Farrell,Farrell","Course Technology, Inc.",9780760010709,1999,3,720,Java Programming: Comprehensive,Joyce M. Farrell,Course Technology,9780760010710,1999,2,687,1
2486418,1756,261,Java: The Complete Reference,"Patrick Naughton,Herbert Schildt",McGraw-Hill Osborne,9780078822315,1996,12,886,Java 2: The Complete Reference,"Patrick Naughton,Herbert Schildt",Osborne Publishing,9780072119760,1999,3,1108,0
2486444,1756,300,Java: The Complete Reference,"Patrick Naughton,Herbert Schildt",McGraw-Hill Osborne,9780078822315,1996,12,886,Java 2: The Complete Reference,"Herbert Schildt,Herb Schildt",McGraw-Hill/Osborne Media,9780072224210,2002,8,1184,0
2495994,1762,2,Java Software Solutions: Foundations of Program Design / Edition 4,"Adrienne Bloss,N. Jane Ingram",Addison-Wesley,9780321278616,2004,7,288,Java Software Solutions (Java 5.0 version): Foundations of Program Design,"John   Lewis,William Loftus",Addison Wesley Publishing Company,9780321322040,2005,7,944,0
2529731,1787,76,Pro Java 8 Programming,Brett Spell,Apress,9781484206416,2015,5,708,Professional Java Programming,Brett Spell,Wrox Press,9781861003830,2000,12,1111,0
2559688,1807,881,A Programmer's Guide to Java SCJP Certification: A Comprehensive Primer,Khalid A Mughal,Pearson Education,9780321619198,2008,12,1088,A Programmer's Guide to Java Certification: A Comprehensive Primer,Khalid A. Mughal,Addison-Wesley Professional,9780201596140,1999,8,688,0
2637652,1862,308,"Java: The Complete Reference, J2se (References Series)",Herbert Schildt,Osborne,9780072230734,2004,12,1000,Java:  The Complete Reference,Herbert Schildt,McGraw-Hill Education,9780071606320,2011,2,1000,0
2655432,1872,777,Data Structures With Java / Edition 1,"John R. Hubbard,Anita Huray",Pearson,9780130933744,2003,9,700,Data Structures with Java,"William H. Ford,William R. Topp",Prentice Hall,9780130477250,2005,12,1024,0
2670439,1882,333,Java Enterprise in a Nutshell,"William Crawford,Jim Farley,David Flanagan","O'Reilly Media, Incorporated",9780596001520,2002,4,992,Java in a Nutshell,David Flanagan,O'Reilly Media,9780596007740,2005,3,1224,0
2685515,1892,1695,Instant Java Applets,"Owen Davis, Sr.,Tom McGinn,Amit Bhatiani",Ziff-Davis Press,9781562763862,1996,4,240,Instant Java Applets,"Owen Davis,Tom McGinn",Ziff-Davis Press,9781562763860,1996,6,6,1
2703155,1903,197,Java Swing,Loy,"O'Reilly Media, Incorporated",9781449337308,2002,11,1280,Java Swing,"Robert Eckstein,Marc Loy,Dave Wood",O'Reilly Media,9781565924550,1998,9,1255,0
2708222,1907,348,Java Man: How Two Geologists Changed Our Understanding of Human Evolution / Edition 1,"Carl C. Swisher III,Garniss H. Curtis,Roger Lewin,Roger Lewin,Garniss H. Curtis",University of Chicago Press,9780226787343,2001,11,256,Java Man: How Two Geologists Changed Our Understanding of Human Evolution,"Carl C. Swisher III,Roger Lewin,Garniss H. Curtis",University Of Chicago Press,9780226787340,2001,11,256,1
2752635,1939,854,"Introduction to Java Programming, Comprehensive Version / Edition 9",Y. Daniel Liang,Prentice Hall,9780132936521,2012,3,1344,Java Programming: A Comprehensive Introduction Java Programming: A Comprehensive Introduction,"Herbert Schildt,Dale Skrien",McGraw-Hill Science/Engineering/Math,9780078022070,2012,1,1184,0
2782056,1958,563,Pro Java 7 NIO.2,Anghel Leonard,Apress,9781430240112,2011,12,296,Pro Java 7 Nio.2,Anghel Leonard,Apress,9781430240110,2011,12,296,1
2800258,1971,1299,Java Web Services,"David A Chappell,Tyler Jewell","O'Reilly Media, Incorporated",9780596002695,2002,3,278,Java Web Services Unleashed,"Robert J. Brunner,Frank Cohen,Francisco Curbera",Sams Publishing,9780672323640,2002,4,752,0
2808390,1977,198,Applied Java Programming,Edward Hill,"iUniverse, Incorporated",9780595450282,2007,6,236,Java Programming,"Poornachandra Sarang,Sarang Poornachandra",McGraw-Hill/Osborne Media,9780071633600,2012,2,642,0
2899734,2039,1365,An Introduction to Programming and Object-Oriented Design Using Java 2nd Edition - Java 5.0 version,"Jaime Nino,Frederick A. Hosch,Frederick A. Hosch",Wiley,9780471712275,2004,8,976,An Introduction to Programming and Object-Oriented Design Using Java,"Jaime Nino,Frederick A. Hosch",Wiley,9780471712280,2004,10,976,1
2902459,2042,153,Java 2: A Beginner's Guide,"Herbert Schildt,Herb Schildt","McGraw-Hill Companies, The",9780072127423,2003,9,570,Java 2: A Beginner's Guide,Herbert Schildt,McGraw-Hill/Osborne Media,9780072127420,2000,11,570,0
