_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
31,0,54,The Java Tutorial: A Short Course on the Basics / Edition 6,"Raymond Gallardo,Scott Hommel,Sowmya Kannan,Joni Gordon,Sharon Biocca Zakhour",Addison-Wesley,9780134034089,2014.0,12,864.0,The Java Tutorial: A Short Course on the Basics,Kathy Walrath,Addison-Wesley Professional,9780321334206.0,2006.0,12.0,672.0
260,0,443,The Java Tutorial: A Short Course on the Basics / Edition 6,"Raymond Gallardo,Scott Hommel,Sowmya Kannan,Joni Gordon,Sharon Biocca Zakhour",Addison-Wesley,9780134034089,2014.0,12,864.0,The Java Tutorial: A Short Course on the Basics,"Sharon Zakhour,Sowmya Kannan,Raymond Gallardo",Addison-Wesley Professional,9780132761697.0,2013.0,2.0,713.0
7382,5,441,Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",McGraw-Hill Professional Publishing,9780071835886,2014.0,9,304.0,Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",McGraw-Hill Education,9780071835886.0,2014.0,9.0,304.0
9166,6,273,Java SE 8 for the Really Impatient / Edition 1,Cay S. Horstmann,Addison-Wesley,9780321927767,2014.0,1,240.0,Java SE 8 for the Really Impatient,Cay S. Horstmann,Addison-Wesley Professional,9780321927767.0,2014.0,1.0,215.0
16974,12,366,Think Java: How to Think Like a Computer Scientist,"Downey,Mayfield","O'Reilly Media, Incorporated",9781491929568,2016.0,6,252.0,How to Think Like a Computer Scientist: Java Programming,Allen B. Downey,Createspace,9781441419200.0,2009.0,3.0,310.0
25001,19,482,Doing Java: An Anthropological Detective Story,Niels Mulder,ATF Press,9789792111491,2006.0,12,245.0,Doing Java: An Anthropological Detective Story,Niels Mulder,Kanisius,9789792111491.0,2006.0,12.0,239.0
25484,20,329,Java: How to Program / Edition 2,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall Professional Technical Reference,9780138993948,1997.0,8,1063.0,Java: How to Program,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall,9780131483989.0,2004.0,8.0,1568.0
29199,22,254,Java 2 Network Security,"Marco Pistoia,Ashok K. Ramani,Milind Nagnur,Deepak Gupta,Duane F. Reller",Pearson Education,9780130155924,1999.0,8,713.0,Java Security,Scott Oaks,O'Reilly Media,9780596001575.0,2001.0,5.0,620.0
29939,22,1813,Java 2 Network Security,"Marco Pistoia,Ashok K. Ramani,Milind Nagnur,Deepak Gupta,Duane F. Reller",Pearson Education,9780130155924,1999.0,8,713.0,Java Network Security,Robert S. MacGregor,Prentice Hall,9780137615292.0,1998.0,1.0,232.0
30951,23,16,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,Sams,9780672330766.0,2009.0,11.0,432.0
