ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
The Java Tutorial: A Short Course on the Basics / Edition 6,"Raymond Gallardo,Scott Hommel,Sowmya Kannan,Joni Gordon,Sharon Biocca Zakhour",Addison-Wesley,9.78013E+12,2014,12,864,The Java Tutorial: A Short Course on the Basics,"Sharon Zakhour,Sowmya Kannan,Raymond Gallardo",Addison-Wesley Professional,9.78013E+12,2013,2,713
Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",McGraw-Hill Professional Publishing,9.78007E+12,2014,9,304,Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",McGraw-Hill Education,9.78007E+12,2014,9,304
Java SE 8 for the Really Impatient / Edition 1,Cay S. Horstmann,Addison-Wesley,9.78032E+12,2014,1,240,Java SE 8 for the Really Impatient,Cay S. Horstmann,Addison-Wesley Professional,9.78032E+12,2014,1,215
Doing Java: An Anthropological Detective Story,Niels Mulder,ATF Press,9.78979E+12,2006,12,245,Doing Java: An Anthropological Detective Story,Niels Mulder,Kanisius,9.78979E+12,2006,12,239
Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9.78067E+12,2007,6,720,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9.78067E+12,2007,5,720
Teach Yourself Internet Game Programming with Java in 21 Days,Michael Morrison,Sams,9.78158E+12,1996,9,456,Teach Yourself Internet Game Programming with Java in 21 Days: With CDROM,Michael Morrison,Sams,9.78158E+12,1996,8,416
Professional Java Security,GARMS,Apress,9.78186E+12,2001,5,600,Professional Java Security,"Jess Garms,Daniel Somerfield",Wrox Press,9.78186E+12,2001,5,544
Java for Programmers,Paul Deitel,Pearson Education,9.78013E+12,2011,4,1168,Java for Programmers,"Paul J. Deitel,Harvey M. Deitel",Prentice Hall,9.78013E+12,2011,4,1126
Java 2 For Dummies,Barry Burd,Wiley,9.78076E+12,2004,6,378,Java 2 For Dummies,Barry Burd,For Dummies,9.78076E+12,2004,8,378
"Platinum Edition Using HTML 3.2, Java 1.1, and CGI","Eric Ladd,Jim O'Donnell",Macmillan Computer Publishing,9.78079E+12,1996,11,1520,Platinum Edition Using HTML 3.2 Java 1.1 and CGI,"Eric Ladd,Jerry Ablan,Tobin Anthony",Que,9.78079E+12,1996,1,1471
Java Programming with Oracle SQLJ,"Jason Price,Jonathan Gennick","O'Reilly Media, Incorporated",9.7806E+12,2001,8,400,Java Programming with Oracle SQLJ,Jason Price,O'Reilly Media,9.7806E+12,2001,9,400
Inside Servlets: Server-Side Programming for the Java Platform / Edition 2,"Dustin R. Callaway,Danny Coward",Addison-Wesley,9.7802E+12,2001,4,912,Inside Servlets: Server-Side Programming for the Java¿ Platform (2nd Edition),Dustin R. Callaway,Addison-Wesley Professional,9.7802E+12,2001,5,912
Java 2 for Professional Developers,Mike Morgan,Sams,9.78067E+12,1999,6,762,Java 2 for Professional Developers,Mike  Morgan,Sams,9.78067E+12,1999,7,762
.NET Development for Java Programmers / Edition 1,"Paul Gibbons,Gary Cornell",Apress,9.78159E+12,2002,7,432,.Net Development for Java Programmers,"Paul  Gibbons,Gary Cornell",Apress,9.78159E+12,2002,7,386
Java and Databases,"Stephen M. Gorman,Oopsla",ISTE/Hermes Science Publishing,9.7819E+12,2003,1,136,Java and Databases,Stephen M. Gorman,Elsevier Science & Technology,9.7819E+12,2004,2,128
The Complete Guide to Java Database Programming (Java Masters Series),"Mathew Siple,Matthew D. Siple,Siple","McGraw-Hill Companies, The",9.78008E+12,1997,12,333,The Complete Guide to Java Database Programming with FDBC,"Matthew D. Siple,McGraw-Hill Education",McGraw-Hill Companies,9.78008E+12,1997,12,333
"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland","O'Reilly Media, Incorporated",9.7806E+12,2004,6,266,"Better, Faster, Lighter Java","Bruce Tate,Justin Gehtland",O'Reilly Media,9.7806E+12,2004,6,266
"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland","O'Reilly Media, Incorporated",9.7806E+12,2004,6,266,"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland",O'Reilly Media,9.7806E+12,2004,5,266
Neural Network Programming with Java,Alan Souza,"Packt Publishing, Limited",9.78179E+12,2015,12,244,Neural Network Programming with Java,"Alan Souza,Fabio Soares",Packt Publishing,9.78179E+12,2016,1,244
"Java Design: Objects, UML, and Process / Edition 1",Kirk Knoernschild,Pearson Education,9.7802E+12,2002,1,304,"Java Design: Objects, UML, and Process",Kirk Knoernschild,Addison-Wesley Professional,9.7802E+12,2001,12,304
Java: An Object First Approach,Fintan Culwin,Prentice Hall Professional Technical Reference,9.78014E+12,1997,11,408,Java: An Object First Approach,Fintan Culwin,Prentice Hall,9.78014E+12,1998,1,394
Java Cryptography,Jonathan Knudsen,"O'Reilly Media, Incorporated",9.78157E+12,1998,5,364,Java Cryptography,Jonathan Knudsen,O'Reilly Media,9.78157E+12,1998,5,364
Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Pearson Education,9.78013E+12,2012,3,288,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Prentice Hall,9.78032E+12,2012,3,384
Java Transaction Design Strategies,Mark Richards,Lulu.com,9.78141E+12,2006,6,116,Java Transaction Design Strategies,Mark Richards,Lulu.com,9.78141E+12,2006,5,116
