title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm
40.5,12,0.7966101694915254,0.9322033898305085,0.9593220338983052,35,47,0.7540983606557377,0.8643929322032533,0.9583333333333334,0.8598130841121495,0.9289617486338799,69,0.10389610389610393,0.48303363303363306,0.48303363303363306,-56,4,0,0,0,0,0.44697609001406513,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0.003980099502487562,0.9960278053624627,0,1,0.25,0.7777777777777778
40.5,12,0.7966101694915254,0.9322033898305085,0.9593220338983052,35,47,0.7540983606557377,0.8643929322032533,0.9583333333333334,0.8598130841121495,0.9289617486338799,51,0.33766233766233766,0.6372072372072372,0.6372072372072372,-6,18,0.4367816091954023,0.6276064038432984,0.8085106382978723,0.608,0.8554149085794658,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0.0004966476285075739,0.9995034756703078,1.4285714285714286,0.16666666666666663,0.19150285351934052,0.8252314814814815
48,0,1,1,1,48,48,1,1,1,1,1,0,1,1,1,27,27,1,1,1,1,1,7,20,0.4285714285714286,0.7160597572362278,0.8296358543417367,1,0.2826086956521739,0.45178123045699536,0.5652173913043478,0.4406779661016949,0.7387387387387392,0,1,0,1,0,1
27.5,12,0.7391304347826086,0.9130434782608695,0.9478260869565217,22,34,0.68,0.8179128813519698,0.9444444444444444,0.8095238095238095,0.9106481481481482,0,1,1,1,16,16,1,1,1,1,1,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0,1,0.10989010989010989,0.8958333333333334
22,30,0.4642857142857143,0.7092857142857142,0.7092857142857142,8,38,0.582089552238806,0.7391455924894308,0.8125,0.7358490566037735,0.9662393162393162,14,0.06666666666666665,0.3444444444444444,0.3444444444444444,0,6,0.13333333333333333,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.695424836601307,-6,23,0.1785714285714286,0.41883116883116883,0.41883116883116883,-12,0.023809523809523808,0.05063696835418333,0.07692307692307693,0.046511627906976744,0.49185185185185176,0.0034782608695652175,0.9965277777777778,0.6666666666666666,0.5,0.20640569395017794,0.8129032258064516
46,0,1,1,1,46,46,1,1,1,1,1,0,1,1,1,12,12,1,1,1,1,1,0,8,0.11111111111111116,0.49074074074074076,0.49074074074074076,0,0.05,0.09534625892455924,0.1,0.09523809523809523,0.3939393939393938,0,1,0,1,0.024793388429752067,0.9755102040816327
13.5,12,0.625,0.875,0.925,8,20,0.5555555555555556,0.7312724241271307,0.9090909090909091,0.7142857142857143,0.828758169934641,0,1,1,1,31,31,1,1,1,1,1,-4,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.0034991252186953262,0.9965069860279441,0,1,0.3838844545800076,0.6779336734693877
7.5,10,0.5652173913043479,0.7653288740245262,0.8591973244147157,3,9,0.5384615384615384,0.7229568912920512,0.9333333333333333,0.7,0.8408888888888888,66,0.08333333333333337,0.45621693121693124,0.45621693121693124,-56,2,0,0,0,0,0.4450450450450455,-1.5,16,0.05882352941176472,0.4837535014005603,0.4837535014005603,-2,0,0,0,0,0.5391812865497073,0.001,0.999000499750125,0.46153846153846156,0.625,0.13953488372093023,0.8695652173913043
19.5,2,0.9130434782608696,0.9075224292615598,0.9445134575569358,19,19,0.8461538461538461,0.917463421851129,0.9565217391304348,0.9166666666666666,0.968,62,0.13888888888888884,0.48900027847396266,0.48900027847396266,-43,4,0.010752688172043012,0.025540472211939853,0.047619047619047616,0.02127659574468085,0.5615615615615622,0,14,0.17647058823529416,0.5548373195432018,0.5993535875888816,-1,0.030303030303030304,0.05923488777590923,0.06666666666666667,0.058823529411764705,0.6198830409356724,0.0005003752814610958,0.9994997498749375,1.5555555555555556,0.125,1.017989417989418,0.32538569424964936
28.5,7,0.8108108108108107,0.8727679292195422,0.9236607575317253,28,28,0.6304347826086957,0.7739527433912544,0.8055555555555556,0.7733333333333333,0.931054131054131,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4,16,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,4,0,1,1,1,4,1,1,1,1,1,0.00099601593625498,0.9990044798407167,0.5882352941176471,0.5454545454545454,0.5,0.6
37,0,1,1,1,37,37,1,1,1,1,1,0,1,1,1,28,28,1,1,1,1,1,4,0,1,1,1,4,1,1,1,1,1,0,1,0.18181818181818182,0.8333333333333334,0,1
18,32,0.5076923076923077,0.7913471163471164,0.8748082698082699,3,33,0.5,0.6859245370246426,0.8717948717948718,0.6666666666666666,0.9743589743589746,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4,16,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,-2,11,0.2666666666666667,0.7555555555555555,0.8533333333333333,-7,0.21052631578947367,0.39605901719066977,0.6666666666666666,0.34782608695652173,0.9333333333333332,0.002488181139586962,0.9975149105367793,0.2857142857142857,0.75,0,1
31,6,0.8421052631578947,0.8762817093409199,0.9257690256045519,31,31,0.6041666666666666,0.7533102835258901,0.7631578947368421,0.7532467532467533,0.9361823361823363,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4,16,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,4,0,1,1,1,4,1,1,1,1,1,0.002494387627837366,0.9975087194818136,0.5,0.6,0.2641509433962264,0.7666666666666666
36,1,0.972972972972973,0.9588338338338339,0.9753003003003003,36,36,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9846153846153848,24,0.1428571428571429,0.7380952380952381,0.7380952380952381,2,16,0.6216216216216216,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9466666666666668,4,0,1,1,1,4,1,1,1,1,1,0.0034938857000249564,0.9965122072745392,0.4,0.6666666666666667,0.10218978102189781,0.9027777777777778
12,32,0.40740740740740744,0.7317317317317317,0.7317317317317317,4,22,0.5081967213114754,0.6818540988326046,0.7948717948717948,0.6739130434782609,0.9549857549857551,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4,16,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,-2,11,0.2666666666666667,0.7555555555555555,0.8533333333333333,-7,0.21052631578947367,0.39605901719066977,0.6666666666666666,0.34782608695652173,0.9333333333333332,0.0044742729306487695,0.9955357142857143,1.4285714285714286,0.16666666666666663,0,1
28.5,15,0.7058823529411764,0.8698036271565682,0.921882176293941,22,36,0.5862068965517241,0.7478399793647922,0.8717948717948718,0.7391304347826086,0.9743589743589746,0,1,1,1,28,28,1,1,1,1,1,4,0,1,1,1,4,1,1,1,1,1,0.0014958863126402393,0.9985052316890882,0.18181818181818182,0.8333333333333334,0.15384615384615385,0.8571428571428572
24.5,19,0.6415094339622642,0.7973458633835993,0.8784075180301596,18,22,0.5,0.6755111321426339,0.7948717948717948,0.6666666666666666,0.9373219373219376,24,0.1428571428571429,0.43253968253968256,0.43253968253968256,-12,2,0,0,0,0,0.5814814814814814,4,0,1,1,1,4,1,1,1,1,1,0.00199501246882793,0.9980069755854509,0.2857142857142857,0.75,0.1801665404996215,0.8347222222222223
36,38,0.5957446808510638,0.7045339412360688,0.7045339412360688,18,56,0.5930232558139535,0.7594197808509282,0.9272727272727272,0.7445255474452555,0.8768518518518515,3,0.8235294117647058,0.9411764705882352,0.9647058823529411,11,11,0.75,0.8603090020146066,0.9375,0.8571428571428571,0.9888888888888889,-1.5,11,0.15384615384615385,0.543040293040293,0.5887362637362636,-4,0.043478260869565216,0.08606629658238703,0.1111111111111111,0.08333333333333333,0.6790123456790123,0.0034869240348692405,0.9965191447041273,0.8235294117647058,0.41666666666666663,0.12424849699398798,0.8830188679245283
54.5,12,0.8356164383561644,0.9452054794520549,0.9671232876712329,49,61,0.8133333333333334,0.8994937089144114,0.9682539682539683,0.8970588235294118,0.9936507936507937,0,1,1,1,16,16,1,1,1,1,1,4,0,1,1,1,4,1,1,1,1,1,0,1,0.11764705882352941,0.8888888888888888,0.09174311926605505,0.9122807017543859
13.5,12,0.625,0.875,0.925,8,20,0.5555555555555556,0.7312724241271307,0.9090909090909091,0.7142857142857143,0.828758169934641,21,0.4878048780487805,0.6888471214461248,0.6888471214461248,8,18,0.45714285714285713,0.6285393610547089,0.6666666666666666,0.6274509803921569,0.936950904392765,13,0,1,1,1,13,1,1,1,1,1,0.0014958863126402393,0.9985052316890882,1.5555555555555556,0.125,0.04432855280312908,0.9566326530612245
26,0,1,1,1,26,26,1,1,1,1,1,26,0.0714285714285714,0.41190476190476194,0.41190476190476194,-21,1,0,0,0,0,0.5587301587301586,1.5,6,0.4,0.6888888888888888,0.6888888888888888,0,0.25,0.40824829046386296,0.5,0.4,0.8444444444444443,0,1,0,1,0.0979020979020979,0.9066666666666666
16.5,7,0.7307692307692308,0.8648018648018647,0.9188811188811188,15,18,0.5294117647058824,0.6943650748294136,0.75,0.6923076923076923,0.8738095238095243,49,0.039215686274509776,0.3130718954248366,0.3130718954248366,-44,1,0,0,0,0,0.6507936507936506,1.5,6,0.4,0.6888888888888888,0.6888888888888888,0,0.25,0.40824829046386296,0.5,0.4,0.8444444444444443,0,1,0,1,0.75,0.4545454545454546
16.5,7,0.7307692307692308,0.8648018648018647,0.9188811188811188,15,19,0.5757575757575758,0.7329409123199365,0.7916666666666666,0.7307692307692307,0.8809523809523814,12,0,0,0,-7,0,0,0,0,0,0.3936507936507936,1.5,6,0.4,0.6888888888888888,0.6888888888888888,0,0.25,0.40824829046386296,0.5,0.4,0.8444444444444443,0,1,0.8235294117647058,0.41666666666666663,0.0979020979020979,0.9066666666666666
12,9,0.625,0.8777777777777779,0.8777777777777779,10,12,0.6,0.7526178090063816,0.8181818181818182,0.75,0.9656565656565657,12,0.25,0.5722402597402597,0.5722402597402597,-1,3,0,0,0,0,0.6820512820512818,1.5,10,0.4117647058823529,0.8039215686274509,0.8823529411764706,-3,0.47368421052631576,0.6882472016116852,1,0.6428571428571429,0.7087719298245613,0.003986048829098156,0.9960218796618597,0.9333333333333333,0.36363636363636365,1.173913043478261,0.26027397260273977
12,9,0.625,0.8777777777777779,0.8777777777777779,10,12,0.6,0.7526178090063816,0.8181818181818182,0.75,0.9656565656565657,22,0.12,0.38484848484848483,0.38484848484848483,-11,2,0,0,0,0,0.6632478632478631,1,15,0.11764705882352944,0.5126050420168067,0.561344537815126,1,0.02702702702702703,0.05263157894736841,0.05263157894736842,0.05263157894736842,0.6198830409356724,0.003986048829098156,0.9960218796618597,0.4,0.6666666666666667,1.2087912087912087,0.2465753424657534
20,0,1,1,1,20,20,1,1,1,1,1,20,0.3548387096774194,0.7849462365591399,0.870967741935484,-9,8,0.42857142857142855,0.6405126152203486,0.9230769230769231,0.6,0.9863247863247864,0,14,0.17647058823529416,0.5548373195432018,0.5993535875888816,-1,0.030303030303030304,0.05923488777590923,0.06666666666666667,0.058823529411764705,0.6198830409356724,0,1,0,1,0.036617262423714034,0.964041095890411
16.5,6,0.7692307692307692,0.923076923076923,0.9538461538461538,14,14,0.7241379310344828,0.8461141122266493,0.9545454545454546,0.84,0.991919191919192,14,0.2222222222222222,0.5322270322270323,0.5322270322270323,-3,3,0,0,0,0,0.7213675213675212,-6.5,17,0,0.4196078431372549,0.4196078431372549,-12,0,0,0,0,0.29590643274853795,0.007486897928624906,0.9925410243659871,0.2857142857142857,0.75,0.9000620732464308,0.3792808219178082
11,9,0.5909090909090908,0.903030303030303,0.903030303030303,11,12,0.6428571428571429,0.7833494518006403,0.8181818181818182,0.782608695652174,0.9656565656565657,11,0.2142857142857143,0.5038961038961038,0.5038961038961038,0,3,0,0,0,0,0.6632478632478631,1.5,10,0.4117647058823529,0.8039215686274509,0.8823529411764706,-3,0.47368421052631576,0.6882472016116852,1,0.6428571428571429,0.7087719298245613,0.005484916479680878,0.9945300845350572,0.2857142857142857,0.75,0.8009592326139089,0.42808219178082196
17.5,4,0.8333333333333334,0.9111111111111111,0.9466666666666667,16,16,0.7777777777777778,0.8780541105074453,0.9545454545454546,0.875,0.991919191919192,20,0.3548387096774194,0.7849462365591399,0.870967741935484,-9,8,0.42857142857142855,0.6405126152203486,0.9230769230769231,0.6,0.9863247863247864,0,14,0.17647058823529416,0.5548373195432018,0.5993535875888816,-1,0.030303030303030304,0.05923488777590923,0.06666666666666667,0.058823529411764705,0.6198830409356724,0.0014906832298136647,0.9985104270109235,0,1,0.11307100859339665,0.8929794520547946
12,9,0.625,0.8777777777777779,0.8777777777777779,10,12,0.6,0.7526178090063816,0.8181818181818182,0.75,0.9656565656565657,25,0.1071428571428571,0.3354978354978355,0.3354978354978355,-14,2,0,0,0,0,0.6102564102564101,-2.5,25,0.24242424242424243,0.5540701128936423,0.5540701128936423,-8,0.038461538461538464,0.07755667343294811,0.10526315789473684,0.07407407407407407,0.6994152046783625,0.0059850374064837905,0.9940328194927897,0,1,1.2043895747599451,0.24828767123287676
18,0,1,1,1,18,18,1,1,1,1,1,0,1,1,1,10,10,1,1,1,1,1,-2.5,10,0.09090909090909094,0,0,-5,0,0,0,0,0.673015873015873,0,1,0.2857142857142857,0.75,0,1
13.5,6,0.7272727272727273,0.840803872053872,0.9044823232323231,12,12,0.5172413793103449,0.6846531968814576,0.75,0.6818181818181818,0.9377777777777776,0,1,1,1,10,10,1,1,1,1,1,-2,12,0.2941176470588235,0.7647058823529411,0.7647058823529411,-7,0.13043478260869565,0.26013299085723596,0.42857142857142855,0.23076923076923078,0.8857142857142856,0.000998502246630055,0.999001996007984,0.15384615384615385,0.8571428571428572,0.07633587786259542,0.9264705882352942
19.5,19,0.6041666666666667,0.7545961562229637,0.8527576937337782,12,16,0.5490196078431373,0.7186578032750834,0.8484848484848485,0.7088607594936709,0.8484444444444447,34,0.19047619047619047,0.5954469507101087,0.6359022556390979,4,6,0.025,0.04883862905055044,0.05128205128205128,0.04878048780487805,0.6550505050505055,-6,16,0.05882352941176472,0.4196078431372549,0.4196078431372549,-11,0,0,0,0,0.7079365079365079,0.001,0.999000499750125,1.5555555555555556,0.125,0.1801665404996215,0.8347222222222223
31.5,17,0.6599999999999999,0.8791919191919192,0.9275151515151515,31,31,0.59375,0.7452413135250994,0.76,0.7450980392156863,0.918803418803419,0,1,1,1,23,23,1,1,1,1,1,-12.5,27,0.06896551724137934,0.4559386973180077,0.4559386973180077,-24,0,0,0,0,0.23655913978494617,0.00100150225338007,0.998998998998999,0.08695652173913043,0.9166666666666666,0.0821917808219178,0.9210526315789473
26,19,0.62,0.853030303030303,0.9118181818181819,24,29,0.5076923076923077,0.6747351765903629,0.717391304347826,0.673469387755102,0.866666666666667,12,0.6571428571428571,0.8060041407867494,0.8836024844720497,11,14,0.631578947368421,0.7891151390657151,0.96,0.7741935483870968,0.9928888888888889,-12.5,27,0.06896551724137934,0.4559386973180077,0.4559386973180077,-24,0,0,0,0,0.23655913978494617,0.002002002002002002,0.998,0,1,0.07508532423208192,0.9276315789473684
46,2,0.96,0.9866666666666667,0.992,46,46,0.8214285714285714,0.9021342216356465,0.92,0.9019607843137255,0.9692307692307693,20,0.4285714285714286,0.7193351736829997,0.8316011042097998,3,11,0.21568627450980393,0.3616777720717861,0.44,0.3548387096774194,0.7884444444444447,-12.5,27,0.06896551724137934,0.4559386973180077,0.4559386973180077,-24,0,0,0,0,0.23655913978494617,0,1,1.6666666666666667,0.09090909090909094,0.03276496155132063,0.9677631578947369
38.5,15,0.7272727272727273,0.8147867564534231,0.8888720538720539,38,39,0.527027027027027,0.6902925172696689,0.6964285714285714,0.6902654867256637,0.903703703703704,12,0.4545454545454546,0.8181818181818182,0.890909090909091,-2,10,0.43478260869565216,0.629940788348712,0.8333333333333334,0.6060606060606061,0.8611111111111115,-2,12,0.2941176470588235,0.7647058823529411,0.7647058823529411,-7,0.13043478260869565,0.26013299085723596,0.42857142857142855,0.23076923076923078,0.8857142857142856,0.003495630461922597,0.9965104685942173,0.5454545454545454,0.5714285714285714,0.1485148514851485,0.8617511520737327
18.5,11,0.6666666666666667,0.8496071829405163,0.9097643097643098,16,22,0.5238095238095238,0.6905413026317789,0.7586206896551724,0.6875,0.840634920634921,23,0.1785714285714286,0.48786630036630035,0.48786630036630035,-10,3,0,0,0,0,0.6,-9.5,25,0.1071428571428571,0.5226190476190476,0.5226190476190476,-20,0,0,0,0,0.38962962962962955,0.0015003750937734434,0.9985007496251874,0.9090909090909091,0.375,0.27586206896551724,0.7575757575757576
29,4,0.8787878787878788,0.9393939393939394,0.9636363636363636,29,29,0.7073170731707317,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9231746031746033,24,0.1428571428571429,0.4682539682539682,0.4682539682539682,-12,4,0.023255813953488372,0.048795003647426664,0.07142857142857142,0.045454545454545456,0.5814814814814814,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.4,0.6666666666666667,0.2182628062360802,0.8032128514056225
33,0,1,1,1,33,33,1,1,1,1,1,17,0.3928571428571429,0.7976190476190476,0.8785714285714286,-6,11,0.34375,0.5570066518960167,0.8461538461538461,0.5116279069767442,0.8007407407407412,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.11764705882352941,0.8888888888888888,0,1
67,7,0.9090909090909091,0.9531422656422657,0.9718853593853594,66,67,0.7439024390243902,0.8533346583486127,0.8714285714285714,0.8531468531468531,0.9684210526315787,13,0.5806451612903225,0.8602150537634409,0.9161290322580645,5,18,0.5142857142857142,0.7006490497453707,0.9,0.6792452830188679,0.8518518518518524,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0.2222222222222222,0.8,0,1
